「ニーチェと偉人たちの対話：哲学、科学、芸術の融合」
哲学者ニーチェと歴史上の偉人たちによる、学際的な対話集。

第1章 人間はなぜ寝るときに目を閉じるのか？ - ソクラテス
第2章 もしも重力が逆向きだったら、人生はどう変わるか？ - アインシュタイン
第3章 宇宙人が地球に来ないのは、我々が彼らのペットだからなのか？ - カール・セーガン
第4章 時間旅行が可能になったら、歴史上の偉人とトイレを借りる権利を争うことになるのか？ - スティーブン・ホーキング
第5章 ユニコーンが存在しないのは、彼らがニンジャだからなのか？ - J・R・R・トールキン
第6章 もしも言語が存在しなかったら、人々はテレパシーで会話するようになるのか？ - ノーム・チョムスキー
第7章 魚は水の中で喉が渇くのか？ - ジャック・クストー
第8章 人間の脳は宇宙人によって植え付けられたコンピューターなのか？ - イーロン・マスク
第9章 なぜ我々は自分の鼻の先端を見ることができないのか？ - パブロ・ピカソ
第10章 もしも猫が人間の言葉を話せたら、彼らは私たちをバカにするだろうか？ - マーク・トウェイン
第11章 恐竜がまだ生きていたら、彼らはソーシャルメディアを使うだろうか？ - スティーブ・ジョブズ
第12章 平行宇宙では、ピザがピザを食べているのか？ - スティーブン・ホーキング
第13章 なぜ我々は自分の声を録音すると違和感を覚えるのか？ - ジグムント・フロイト
第14章 もしも動物が服を着ていたら、ファッションショーはどのようになるか？ - ココ・シャネル
第15章 石は生きているのか、それとも死んでいるのか？ - ガリレオ・ガリレイ
第16章 色は本当に存在するのか、それとも私たちの脳が作り出しているだけなのか？ - アイザック・ニュートン
第17章 もしも地球が立方体だったら、重力はどのように作用するのか？ - アルベルト・アインシュタイン
第18章 ミミズは自分が上下逆さまになっていることを知っているのか？ - チャールズ・ダーウィン
第19章 時間は本当に存在するのか、それとも人間が作り出した幻想なのか？ - アルベルト・アインシュタイン
第20章 もしも人間がテレポートできたら、歯ブラシを持ち運ぶ必要があるのか？ - ニコラ・テスラ

あとがき　- ニーチェ
